,맥주,Aroma,Appearance,Flavor,Mouthfeel,Overall
0,Kloud Original Gravity,4.3428571428571425,2.914285714285714,4.476190476190476,2.5904761904761906,8.82857142857143
0,Kloud Fitz Super Clear,3.769230769230769,2.3846153846153846,3.5,2.0384615384615383,7.384615384615385
0,Asahi Super Dry,3.9130221130221132,2.6506142506142507,4.344963144963145,2.464864864864865,8.610810810810811
0,Tsingtao,3.7473262032085564,2.415775401069519,4.098930481283422,2.339126559714795,7.996434937611408
0,Heineken,3.7806215722120657,2.6542504570383914,4.28473491773309,2.4277879341864717,8.461151736745887
0,Kirin Ichiban,4.1685303514377,2.7643769968051117,4.420926517571885,2.503993610223642,8.735623003194888
0,Sapporo Premium Beer / Draft Beer,4.08254468980021,2.6976866456361726,4.516298633017876,2.5278654048370135,8.983175604626709
0,Stella Artois,4.4686111111111115,2.977222222222222,5.036388888888889,2.756666666666667,10.176111111111112
0,Guinness Draught,6.244237198662678,4.422136195671301,6.601618863276438,3.497624494105226,13.85095900052789
0,Kronenbourg 1664 Blanc,5.596774193548387,3.184475806451613,5.414314516129032,2.8296370967741935,10.964717741935484
0,Pilsner Urquell,6.017073170731707,3.584390243902439,6.536585365853658,3.415121951219512,13.28829268292683
0,San Miguel,3.6391752577319587,2.5463917525773194,3.8247422680412373,2.2216494845360826,7.649484536082475
0,OB Premier Pilsner,4.379310344827586,2.7586206896551726,4.4655172413793105,2.5689655172413794,8.293103448275861
0,Cass Fresh,3.3917197452229297,2.337579617834395,3.417197452229299,2.0605095541401273,6.554140127388535
0,Eichbaum Apostel Bräu,4.608974358974359,2.83974358974359,4.743589743589744,2.5384615384615383,9.692307692307692
0,Egger Zwickl,5.2,3.2,5.4,3.0,10.3
0,Egger Märzenbier,4.912195121951219,2.848780487804878,5.058536585365854,2.629268292682927,9.751219512195123
0,Holsten Premium Bier,4.462068965517242,2.6735632183908047,4.751724137931035,2.5195402298850573,9.324137931034484
0,Bintang Pilsener,3.8083941605839415,2.5784671532846715,4.012773722627737,2.2828467153284673,7.775547445255475
0,Krombacher Weizen,6.1627565982404695,3.5762463343108504,6.148093841642229,3.1378299120234603,12.368035190615835
0,Miller Genuine Draft (MGD),2.8847443419949705,2.2854149203688183,3.3310980720871752,2.030176026823135,6.256496227996647
0,Hoegaarden Cherry,5.666666666666667,3.6666666666666665,5.333333333333333,4.0,10.5
0,Tiger Radler Lemon,4.090909090909091,2.4545454545454546,4.136363636363637,2.409090909090909,7.681818181818182
0,Suntory The Premium Malt's,4.956284153005464,2.9617486338797816,5.39344262295082,2.814207650273224,10.573770491803279
0,Reeper B. Blondes Weissbier,5.470588235294118,3.4705882352941178,5.0,2.6470588235294117,10.235294117647058
0,Bright Leaf Peeper Red IPA,7.333333333333333,3.8333333333333335,7.5,3.5,15.333333333333334
0,Tiger Beer,3.9223300970873787,2.5928041119360365,4.2609937178754995,2.385494003426613,8.41233580810965
1,Tsingtao Wheat Beer,5.685714285714286,3.0285714285714285,5.514285714285714,2.5714285714285716,11.0
1,Erdinger Weissbier,5.91965620328849,3.5642750373692076,6.205156950672646,3.241031390134529,12.679372197309418
0,Carlsberg Pilsner,4.061931818181818,2.6931818181818183,4.492613636363636,2.4926136363636364,8.942045454545454
